median_employment_income_per_employed_person_persons_2018_19, employed_persons_000_females_2015_16, fid, median_employment_income_per_employed_person_females_2016_17, median_employment_income_per_employed_person_females_2017_18, median_employment_income_per_employed_person_males_2017_18, employed_persons_000_males_2015_16, median_employment_income_per_employed_person_persons_2015_16, median_employment_income_per_employed_person_males_2018_19, median_employment_income_per_employed_person_females_2015_16, median_employment_income_per_employed_person_persons_2016_17, employed_persons_000_females_2017_18, median_employment_income_per_employed_person_males_2016_17, employed_persons_000_females_2016_17, employed_persons_000_males_2014_15, median_employment_income_per_employed_person_persons_2017_18, employed_persons_000_persons_2017_18, median_employment_income_per_employed_person_males_2015_16, median_employment_income_per_employed_person_females_2014_15, employed_persons_000_persons_2018_19, employed_persons_000_males_2017_18, median_employment_income_per_employed_person_persons_2014_15, employed_persons_000_females_2018_19, sa2_code, employed_persons_000_persons_2015_16, median_employment_income_per_employed_person_males_2014_15, employed_persons_000_males_2016_17, sa2_name, employed_persons_000_persons_2016_17, employed_persons_000_males_2018_19, employed_persons_000_females_2014_15, median_employment_income_per_employed_person_females_2018_19, employed_persons_000_persons_2014_15
39436.5,null,1,41317.5,37815.0,19665.0,null,null,25512.5,null,24516.0,0.011,21170.0,0.007,null,37760.5,0.018,null,null,0.012,0.005,null,0.01,"101041022",null,null,0.007,"Deua - Wadbilliga",0.015,0.003,null,45210.0,null
null,null,2,null,null,null,null,null,null,null,71295.0,null,null,null,null,null,null,null,null,null,null,null,null,"103031075",null,null,null,"Wollangambe - Wollemi",0.002,null,null,null,null
null,null,3,null,null,null,null,null,null,null,70407.0,null,null,null,null,null,null,null,null,null,null,null,null,"107021135",null,null,null,"Illawarra Catchment Reserve",0.005,null,null,null,null
null,null,4,null,null,null,null,null,null,null,32238.0,null,null,null,null,null,null,null,null,null,null,null,null,"205021080",null,null,null,"Alps - East",0.005,null,null,null,null
null,null,5,null,null,56087.5,null,null,null,null,55358.0,null,55358.0,null,null,56087.5,0.008,null,null,null,0.005,null,null,"308051532",null,null,0.01,"Callemondah",0.007,null,null,null,null
8388.0,null,6,null,null,null,null,null,1561.0,null,null,null,null,null,null,null,null,null,null,0.004,null,null,0.005,"504021052",null,null,null,"Malmalling - Reservoir",null,null,null,28198.0,null
39149.5,1.015,7,32919.0,34658.0,48944.0,1.093,38827.0,45662.0,32891.0,39604.0,1.056,46815.0,1.062,1.116,40420.0,2.24,45729.0,31264.0,2.283,1.186,36518.0,1.066,"101021007",2.104,40386.0,1.168,"Braidwood",2.231,1.212,0.984,34696.0,2.104
40650.0,2.606,8,32848.0,33039.0,44375.0,2.681,36551.0,46550.0,31567.0,37070.0,2.706,43035.0,2.708,2.677,38321.0,5.455,42830.5,30387.0,5.528,2.744,35686.5,2.769,"101041025",5.282,41849.5,2.784,"Merimbula - Tura Beach",5.486,2.756,2.583,35625.5,5.264
39790.0,1.886,9,32479.0,35206.0,40091.0,1.961,34942.5,42663.0,32488.5,35679.0,1.954,39015.0,1.922,1.982,37656.0,3.949,38382.5,30204.5,3.961,1.994,33547.0,1.973,"101041026",3.85,36658.0,2.007,"Moruya - Tuross Head",3.929,1.985,1.896,36869.0,3.879
33060.5,1.905,10,27733.0,30008.5,36413.0,1.968,30800.0,36230.5,28158.0,30127.0,2.001,33065.0,1.985,1.995,33063.0,4.078,33893.0,26108.5,4.131,2.075,28996.0,2.048,"101041027",3.878,31893.0,2.053,"Narooma - Bermagui",4.039,2.079,1.91,29858.0,3.902
50312.5,2.992,11,33698.0,36119.0,66365.0,3.37,43941.0,68716.0,33717.0,45572.5,3.118,61423.5,3.064,3.365,48499.0,6.572,58335.0,32080.0,6.926,3.458,42279.0,3.293,"103031072",6.365,55711.5,3.439,"Mudgee",6.506,3.636,2.968,37263.0,6.338
37786.0,0.644,12,31365.0,31352.5,44815.5,0.744,34920.0,45324.0,28439.5,36176.0,0.644,41634.5,0.643,0.8,36949.5,1.431,41620.5,24436.0,1.447,0.787,32586.5,0.663,"103031073",1.385,42297.0,0.771,"Mudgee Region - East",1.407,0.789,0.663,31464.0,1.463
40948.5,2.21,13,30571.5,30647.0,52111.0,2.757,37674.0,53172.0,29291.0,38747.0,2.476,49056.0,2.345,2.812,40360.0,5.454,47145.5,28484.0,5.595,2.978,35860.0,2.559,"103031074",4.963,44795.5,2.9,"Mudgee Region - West",5.251,3.035,2.255,31274.0,5.068
44008.0,4.075,14,34019.0,35762.5,47840.0,4.366,39576.5,49658.5,34216.0,40274.5,4.238,45192.0,4.154,4.365,42043.0,8.809,44644.0,31948.0,8.869,4.575,37630.0,4.24,"104011080",8.437,42512.5,4.424,"Grafton",8.569,4.629,4.07,37489.0,8.433
39145.5,3.321,15,31197.0,34207.0,42707.0,3.86,34701.5,44923.0,30421.0,35684.5,3.543,40102.5,3.483,3.884,38066.0,7.733,38933.0,28262.5,7.955,4.191,31991.5,3.661,"104011081",7.175,36137.0,4.078,"Grafton Region",7.565,4.291,3.306,33915.5,7.191
39213.0,3.456,16,30901.5,32447.5,44116.5,3.72,33693.0,46460.0,29998.0,35522.0,3.645,40673.0,3.579,3.622,37993.5,7.632,38512.0,27658.0,7.888,3.988,31606.0,3.785,"104011082",7.179,36175.0,3.831,"Maclean - Yamba - Iluka",7.407,4.103,3.401,33177.0,7.024
