utility_median_emply_inc_job, fin_insur_num_jobs_000, pro_tech_servc_median_emply_inc_job, tot_num_jobs_000, whsl_trade_median_emply_inc_job, pro_tech_servc_num_jobs_000, agri_frsty_fish_median_emply_inc_job, admt_supp_num_jobs_000, arts_rec_num_jobs_000, oth_median_emply_inc_job, tot_median_emply_inc_job, cons_median_emply_inc_job, rtl_trade_num_jobs_000, fin_insur_median_emply_inc_job, agri_frsty_fish_num_jobs_000, hlth_care_soc_asst_num_jobs_000, pub_admt_safety_num_jobs_000, utility_num_jobs_000, info_med_telecommunications_num_jobs_000, whsl_trade_num_jobs_000, trns_pstl_whse_num_jobs_000, mining_num_jobs_000, accom_food_median_emply_inc_job, sa2_name, accom_food_num_jobs_000, trns_pstl_whse_median_emply_inc_job, admt_supp_median_emply_inc_job, rent_hiring_rlst_median_emply_inc_job, hlth_care_soc_asst_median_emply_inc_job, mining_median_emply_inc_job, arts_rec_median_emply_inc_job, edu_training_median_emply_inc_job, rtl_trade_median_emply_inc_job, info_med_telecommunications_median_emply_inc_job, cons_num_jobs_000, sa2_main16, manu_num_jobs_000, pub_admt_safety_median_emply_inc_job, oth_num_jobs_000, manu_median_emply_inc_job, rent_hiring_rlst_num_jobs_000, edu_training_num_jobs_000
73832.0,0.065,29430.0,2.224,28249.0,0.13,3678.5,0.097,0.025,25590.0,24228.0,30953.0,0.166,27659.5,0.175,0.169,0.363,0.023,null,0.066,0.074,null,4074.0,"Braidwood",0.15,16943.0,20591.5,24000.0,37567.0,null,17151.0,24341.0,16095.0,null,0.172,101021007,0.118,60315.0,0.07,22912.0,0.039,0.19
57959.5,0.105,48557.0,6.443,46917.5,0.342,8482.0,0.578,0.108,18584.5,35586.0,39211.5,0.592,20710.0,0.024,0.474,1.384,0.118,0.062,0.166,0.255,null,5842.0,"Karabar",0.463,35642.0,17171.0,37795.5,30842.0,null,12698.5,42482.0,16889.5,46649.0,0.588,101021008,0.334,72059.0,0.235,48390.0,0.13,0.313
61745.5,0.153,49313.0,8.38,35758.0,0.518,6985.0,0.68,0.178,24792.0,34277.0,33465.0,0.892,39875.5,0.035,0.745,1.856,0.077,0.123,0.197,0.197,null,7711.0,"Queanbeyan",0.686,43980.0,12009.5,32623.0,25179.0,null,8823.0,33973.0,20460.0,54794.0,0.608,101021009,0.355,72540.0,0.252,45851.5,0.146,0.394
60313.0,0.095,40543.0,3.971,35423.0,0.232,null,0.316,0.059,20132.5,33817.0,37860.5,0.412,16365.5,null,0.339,0.84,0.045,0.054,0.107,0.15,null,8307.0,"Queanbeyan - East",0.363,37629.0,12838.5,41151.0,21247.5,null,10063.5,24428.0,24819.5,57236.0,0.279,101021010,0.13,72394.0,0.105,52635.0,0.065,0.25
69938.0,0.228,61178.0,11.544,41596.0,0.974,4175.0,0.646,0.206,29813.5,42611.0,43027.0,0.874,31146.0,0.189,0.694,3.191,0.116,0.149,0.246,0.307,0.029,5068.5,"Queanbeyan Region",0.676,51069.0,15197.0,29077.5,30721.0,70257.5,6649.5,30039.0,15227.0,73453.0,1.012,101021011,0.369,79187.0,0.392,41868.5,0.201,0.672
62830.5,0.204,56233.5,10.424,45404.5,0.762,1555.0,0.652,0.215,26402.0,43234.5,43640.0,0.904,29779.0,0.032,0.657,3.172,0.112,0.133,0.221,0.269,null,5758.0,"Queanbeyan West - Jerrabomberra",0.724,46249.0,16175.0,42044.0,27167.5,null,3836.0,27194.0,14398.0,59494.5,0.675,101021012,0.345,81919.0,0.309,39992.5,0.199,0.568
null,0.035,10717.0,1.847,18368.0,0.053,4068.0,0.073,null,12590.0,12729.0,24048.0,0.115,8811.0,0.578,0.144,0.205,null,null,0.029,0.06,null,5007.0,"Bombala",0.106,24476.0,17309.0,null,40315.0,null,null,15714.5,10300.0,null,0.053,101031013,0.147,34639.5,0.033,42923.0,null,0.13
96707.0,0.099,20251.0,4.807,24239.0,0.222,1751.5,0.191,0.04,22359.0,18719.0,31200.0,0.617,18130.0,0.3,0.433,0.529,0.188,0.044,0.136,0.188,null,5440.0,"Cooma",0.617,25491.0,8950.5,10528.0,32636.0,null,4128.0,22206.5,17566.5,15684.0,0.225,101031014,0.135,54850.0,0.14,35192.0,0.094,0.389
89834.5,0.065,22719.0,2.202,6107.0,0.123,2175.0,0.109,null,17666.0,16148.0,32572.5,0.186,15576.5,0.344,0.157,0.292,0.051,null,0.066,0.063,null,3883.5,"Cooma Region",0.17,34370.0,8249.0,10235.5,34780.0,null,null,26099.5,23303.0,null,0.132,101031015,0.056,54718.0,0.054,15345.0,0.024,0.149
96839.0,0.094,14166.0,6.298,9917.0,0.213,2211.5,0.326,0.076,11619.5,10677.0,23452.0,0.725,19660.0,0.356,0.283,0.491,0.114,0.255,0.086,0.224,null,6061.0,"Jindabyne - Berridale",1.544,10949.0,5923.0,10808.0,17569.0,null,5025.0,17566.0,13034.5,11647.0,0.323,101031016,0.136,40331.0,0.16,16460.0,0.202,0.403
