emp_total_female_45_64, total_male_15_64, employment_female, employment_female_25_44, emp_total_male_65up, employment_male_rate, employment_female_25_44_rate, employment_male_15_24, sa2_name16, employment_male, employment_female_45_64_rate, emp_total_person_15up, employment_male_65up, emp_total_female_15up, emp_total_female_25_44, emp_total_male_15up, employment_female_rate, employment_female_15_24_rate, emp_total_male_15_24, total_person_15_64, employment_male_45_64_rate, employment_male_25_44_rate, emp_total_male_25_44, employment_rate, employment_male_25_44, employment_female_65up, employment_female_45_64, employment_female_15_24, employment_male_45_64, total_female_15_64, employment_total, employment_female_65up_rate, emp_total_female_15_24, emp_total_female_65up, employment_male_65up_rate, sa2_code16, employment_male_15_24_rate, emp_total_male_45_64
574,1023,769,244,394,86.31476,72.403564,81,"Braidwood",883,67.59582,2839,128,1422,337,1417,74.299515,50.0,145,2058,73.58156,82.48408,314,80.27211,259,75,388,62,415,1035,1652,19.379845,124,387,32.48731,"101021007",55.86207,564
1103,2590,2028,840,449,83.12741,80.30593,345,"Karabar",2153,72.620125,6227,88,3188,1046,3039,76.01199,65.70328,536,5258,78.8705,88.6076,1027,79.51693,910,46,801,341,810,2668,4181,8.846154,519,520,19.59911,"101021008",64.36567,1027
502,924,737,218,363,90.47619,82.88973,78,"Cooma Region",836,72.70916,2493,127,1206,263,1287,81.25689,60.56338,141,1831,77.77778,85.92593,270,85.90934,232,68,365,86,399,907,1573,22.742476,142,299,34.986225,"101031015",55.31915,513
885,2288,1811,745,449,91.171326,89.32854,309,"Jindabyne - Berridale",2086,81.80791,5173,128,2436,834,2737,88.12652,74.10714,429,4343,83.76963,93.91593,904,89.7306,849,93,724,249,800,2055,3897,24.409449,336,381,28.507795,"101031016",72.02797,955
1002,1910,1230,437,963,68.481674,66.81957,189,"Batemans Bay",1308,56.087826,5865,87,2992,654,2873,63.43476,61.13074,314,3849,56.431534,77.21519,632,65.9392,488,58,562,173,544,1939,2538,5.5080724,283,1053,9.034268,"101041017",60.191082,964
1197,1926,1476,471,1140,71.54725,70.29851,180,"Batemans Bay - South",1378,60.56809,6511,109,3445,670,3066,67.060425,60.479042,328,4127,62.512363,77.85349,587,69.15435,457,78,725,202,632,2201,2854,6.2700963,334,1244,9.561403,"101041018",54.878048,1011
1225,2244,1720,570,779,78.43137,71.69811,240,"Bega - Tathra",1760,66.85714,6333,102,3310,795,3023,71.10376,59.14787,406,4663,71.6862,85.45953,729,74.630066,623,95,819,236,795,2419,3480,10.662177,399,891,13.09371,"101041019",59.1133,1109
1607,2540,1770,479,869,76.1811,70.131775,208,"Bega-Eden Hinterland",1935,61.48102,6774,204,3365,683,3409,66.8429,52.793297,393,5188,67.31392,80.23256,602,71.4148,483,114,988,189,1040,2648,3705,15.899582,358,717,23.47526,"101041020",52.92621,1545
478,805,628,206,417,75.2795,81.42293,76,"Broulee - Tomakin",606,65.89958,2566,31,1344,253,1222,72.76941,64.393936,136,1668,66.42686,88.09524,252,73.98081,222,22,315,85,277,863,1234,4.5738044,132,481,7.434053,"101041021",55.882355,417
3,0,0,0,0,0.0,0.0,0,"Deua - Wadbilliga",0,0.0,9,0,9,0,0,0.0,0.0,0,3,0.0,0.0,0,0.0,0,0,0,0,0,3,0,0.0,0,6,0.0,"101041022",0.0,0
